setzen,seat
geandert,changed
deshalb,for this reason
allerdings,however
leider,unfortunately
idee,idea
klauen,steal
erswischt,caught
aufpassen,careful
zittere,shake
ganzen,entire/whole
korper,body
auffalen,attention
beruhigen,calm down
merkt,notice
verkauferin ,shop assistant
verhalt,acts/behaviour
verlassen,leave
losgegangen,went off
schnell,fast
Sicherheit,security
abhauen,run away
weggerannt,run away
oberteil,top
rock,shirt
verstecken,hide
verfolgt,followed/tracked
klo,restroom
richtung,direction
draussen,out
rauskommen,come out
vertrauen ,trust
anders,differently /other
such ,choose
fassen,believe
massloss,exorbitantly
enttauscht,disappointed
strafe,punishment
stark,hard/strong
bestraft,punished
miteinander,together
straffe,punishment
mehrere,multiple
mehr,more
streng,strict
echt,really
ubertrieben,exaggerated
enttauscht,disappointed
bloss,just
verzeihen,forgive
antwortet,responding
umgefallen ,fell down
ohnmachtig,unconscious
krankenwagen,ambulance
ansprechbar,responsive
atmet,breathe
uberprufen,check
schau mal,just look
schwach,weak
beruhigen,calm down
schicken,sending
hubschrauber,helicopter
halte,hold/hang
bereit,prepare
folgen ,follow
bereits,already
bewusstlos,unconscious
untersuchen,examine
ausserdem,beside
schwachen,weak
krankenhaus,hospital
heraus,out
trage,stretcher
legen,lay
hubschrauber,hospital
leider,unfortunately
schneller,faster
dach,roof
wegen,because
gehirn,brain
wahhrend,during
aber,but
sterben,die
versuchen,try
bereits,already/been
entfernen,remove
untersuchen,examine
reh,deer
bremsen,break(vehicle)
schaffe,manage
verschwinde,get
ausweichen,dodge
angreifen,attack
bewegen,move
verschwinde,lost
genug,enough
dachte,thought
verltzt,hurt
starker,severly
bestimmt,surely
anhalten,stop
geschlossen,closed
ohnmachtig,uncouncious
verletzt,injured
unterwegs,on the way
kritischen,critical
zustand,condition
flehe,beg
verletzungen,injured
spurt ,feel
genug,enough
dasselbe,same
verlieren,to spare
erriechen , reach
vollig,fully
gesund ,recover
liese,quiet
gerade,currently/at the moment
will,want
weit,far
durch ,through
hintere tur ,backdoor
runtergefallen,fall down
moment mal ,wait a min
eigentlich,wearing
aufgefallen ,noticed
tragst,wear
so an, like that
ziehe ,wear
verappeln,kidding
hingehen,go there
egal ,care
abhauen,get away
irgendwie,somehow
klettere,climb
vorsichtig,careful
geschafft,did it
uberzeugt,convinced
rauszulassen ,to let you out
wieder,back/again
leute,people
bestimmt,certainly
sie holen,get her
sorgen,worry
uberlegen,think/consider
bestrafen,punishment
reingehen ,go in
abwarten,wait
verhalten,behaviour
schlechtes,bad
blamieren,embarass
siehst,look
folgen,consequences
trotzdem,anyway
nett,kind
eigentlich,actually
vorbereiten,prepare
glauben,beleibe
kaum,hard
betrugt,cheating
scherz,joke
bevor,before
umziehen,change (cloth)
bereits,already
gemutlicher,comfortable
neugierig,curious
streiten,fight
vertraue,trust
miesse,bad
wissen,know
begleite,accompany
arger,trouble
oben,upstairs
zeigen,show
beruhig,calm
wonach,what
schlimmes,bad
erklaren,explain
nachhilfe,private
Gestellt,decorate
auf ,on
an ,on
zu ,on
Schemen,taste
Vergleichen,compare
Wenden,turn around
das Kraut , die Kräuter
verlobt,engaged
schlecht,bad
fschwer,difficult
Bezahlen,pay
Uberfliegen,overfly
Bieten,offer
Stock,floor
liese,quiet
etwa,around
beim, at the
arztpraxis,doctor office
Sprechstundenhilfe,receptionist
Versichertenkarte,health insurance
Behandlungsraum,treatmentroom
röntgen,x-ray
Versicherten,insured
Vorsicht,caution
alleine ,alone
laufen,walk/run
mal,just
zahlt,pays
Behandlungen ,treatment
bezahlen,pay
gegen,against
Auf Wiederhören,sepak soon
Unfall,accident
trotzdem,despite
voll,full
mehr,more
besteht,consist
insgesamt,total
folgen,consequences
anziehen,put on
Sprechstunde,offcie hours
vorbeikommen,come round
durfen ,permission
gebrochen ,broken
verschrieben,prescribed
bewegen ,move
benutzen ,use
besorge ,get
ausruhen ,relax
aussagen ,solve
Krücken,crutches
salbe ,ointment
taglich,daily
benutzen,use
aufstehen ,stand up
untersuhen,examine
krankschreibung,sick note
denkt,thinks
arbeitgeber,employer
bedeutet , to mean
verschrieben,prescribed
offnen ,open
halsenzuntung,sore throat
ruhe ,quiet
erkaltung,cold
Wähl,choose
fehlenden,missing
Süßigkeiten,sweets
Blutdruck.,blood pressure
starken,strength
wiederholen,made
wurdest,become
antworten , to answer
sich bedanken , to thank oneself
abfahren , to depart
hören , to hear
ansehen , to look at, to watch
gut , good, well
finden , to find
Schulabschluss,graduation
fehlen,absent
Kreuzfahrt,cruise
gegangen,went
besonders,particularly
dort,there
Was fehlt ,what is missing
hören , to hear
to write a book , ein Buch schreiben
gesund,healthy
beschweren,complain
bauch ,belly
baden,swimming
reiten,ride
zelten,camping
aufstehen,get up
beantworten , to answer
ergänzen , to complete, to supplement
entwerfen , to design
verstärken , to strengthen
überprüfen , to check/verify
fallen , to fall
eingeladen,invited
gegeben,given
laut ,loud
dort,there
Wie hat sie/ er ausgesehen
vergiss ,vergesst
Beschweren,complain
zelten ,campping
verstanden,understood
erkannt ,recognisex
nur,only
kekse,cookies
freut,excuse
rechnung,ticket
kellner,waiter
schiller,officer
kunstler ,artist
anwaltin,lawyer
malst,paint
gemobbt,bullied
argern ,bully,anger
angst,scared
schlagt,hit
gespannt ,curious
eigentlich,anyway
getan,do
Fruhler,mistake
leckers ,tasty
Stuhl , Chair
Stuhl , Chair
Himmel,sky
Vogel , Bird
Mittagessen , Lunch
Sonnenschein , Sunshine
Garten , Garden
Strand , Beach
Lehrer , Teacher
Stift , Pen
Kunst , Art
Möbel , Furniture
Müll , Garbage
Besprechung , Meeting
Bewerbung , Application
Abreise , Departure
Abflug , Takeoff
Klettern , Climbing
Tauchen , Diving
Segeln , Sailing
folgen,follow
Speisekarte auf Englisch ,menu
Restaurant , Restaurant
Tagesgericht , Daily Special
Koch , Chef
Schlug, beat
Gegenreischen ,opposite team
Flasche , bottle
Vorlesung , lecture
Vielzahl,variety
Vorbereitung , preparation
überprüfte ,checked
unterrichtet ,teaches
Klavier ,piano
sammle ,collect
statt,instead of
trotz,despite of
ab , from
entgegen,towards
Klappt,work
mindestens, at least
erinnere,remeber
bereits, already
Dorthin,there
Eingebunden,enough
Angezogen,overdressed
Beruhige,relax
Absagen,cancel
Ruberkommen,come over
Auf,for
Verargert,upset
Lugt,lie
Schlechter,worse
Stiefmutter,stepmom
Waffe,gun
Schwore,swear
Mist, shit
Uberreagiert,overreacted
Gewohnt,used to it
Vorchistig,careful
Moment Mal , wait a min
Hirn,brain
Geduld,patience
Beweg ,movd
Albtraum,nightmare
Wahrend ,date
Verproschen,promise
Vermiss ,miss
Raten,guess
Davon,about
Zukunft,future world
Geandert,ruined
Besprechen,diecuss
Uberhaupt ,going out
Unnotig,not necessary
Wie fruher , any more
Lackhaft,joke
Leicht,wasy
Geworden,become
Fehler,mistake
Zuvor,earlier
Klagen,complain
Kunde,client
Auf,of
Hnagen,fool
Schulen,owe
zinse,interest
bekamen,take
schletcher ,bad
enhalten,include
anwalt,counsellor
opfer,victim
bewirken ,difference
Umfrage,survey
Ubrig,left
deshalb,since
deswegen,thats why
daher,therefore
ziehen,move
grund,reason
bewerbung,application
darum,so
kusteil,course
nehmerin ,participants
wegen ihres manne,because of her man
aussprache,pronounciation
trammel,kurse
verofenttlich,publish
unbekannte,unknown
besucher,visitor
erwartet,expected
unterricht,class
fallt,canceled
zahlreichen,numerous
stau,traffic jam
fehlers ,mistake
herz,cardiac
kontrolliert,checked
starken,strong
Umstande,situation
Remember,erinnern
Schwach,weak
Strong ,stark
Vollig,completely
abfliegt,depart
ankommt,arrive
augenblicklich,instantaneous
beamter,official
besorgen,get
bose,evil
datei,file
durcheinander,messed up
erschrocken,frightened
missverstandnis,miss understanding
normaleiweise,usuallly
undeutlich,unclear
zunachst,first
neulich,recently
als,as
folgendes,following
punktlich,on time
anzeigentafel ,scoreboard
durchsagen,announcement
fluglinie,airline
schalter,counter
gegangen,went
angestelltne,employee
fast,almost
ausserdem,plus or additionally
zeimlich,crowded
voll,pretty,completely
absturz,crash
fallt,falling
Himmel ,sky
laut,loudly
plotzlich,suddenly
still,quite
gemerkt,realised
sondern,rather
aufgeklart,clarified
geschichte,story
daruber,many times
froh,happy
herasfinden, findout
bemerkt,noticed
pass auf ,watch out
wohnort,place of residence
gefreut,happy
sauer,angry
daruber,about
niemand ,nobody
da, there
tier,animal
ratsel,puzzle
verlseung,lecture
losung,soultion
losen,solve
nennt,called
dunkle ,dark
schlecht,badly
dhaer,thats why
standesamt,registry office
veranstaltungen,event
ausstellung,exhibition
fuhrung durch,guided tour
vorschlag,suggestion
ausflug,excursion leisure
ausflug , side trip , leisure
uberlegen,think
zunachst,first
aufgaben,task
erfahren ,experience
malerei,painting
witze,jokes
dauer,permanent
rundgang,tour
teilnehmer,participants
nagel,nail
durcheinander,messed up
bedeutung,meaning
schlange,snake
gesprach,talking
erfunden ,inveneted
gezogen,moved
darum,thats why
wegen ,because
ein paar ,a few
komisch,strange
daher,therefore
ahnliche,similar
uberhaupt,anything , at all
folgendes,following
erlebt ,experienced
wurste,sausage
ganzen,whole
